what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349179768779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349179769069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349179774205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349179778150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349179812980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349179938768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349179940170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349179941524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349179943308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349179950444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349179994550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349179995944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349179997153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180005768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180070016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180071768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180073261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180085991
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349180094737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180095454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180096312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180097073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180103372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180121427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180122776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180123867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180140083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180163465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180165041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180166276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180456475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180457876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180833803
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1349180842528
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1349180843023
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1349180843593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180906547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349180977655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181013439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181023759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349181029528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181037529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181041008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349181042352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181053296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181056812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349181061549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181076563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181081030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349181082137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349181092185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181095982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181110612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181112529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181120620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181121889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181122637
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1349181152928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181153951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181154135
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1349181161541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181163609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181163791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181221022
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181598213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181600813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181626870
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349181657213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349181663264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181696350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181701414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349181745393
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349181747037
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349181755849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181764023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181807049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181864490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181906077
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349181927779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181931599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181939094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349181944045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349181944241
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349181944417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349181944537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349181944705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349181944842
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349181944985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349181945123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349181945266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349181945417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349181945663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349181946052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349181951774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181952928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181953654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181954316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181962784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181967892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181974207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349181981332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181983592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349181988855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349182008135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182012042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182018077
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349182021124
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349182021539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349182022018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349182023633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182026158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182077845
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1349182254431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1349182260345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349182261732
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1349182269336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349182279810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349182280801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349182281152
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349182292871
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349182294516
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1349182297637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182311567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182328747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182372336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182378058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182402474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182405869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182422624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182424203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182424620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182428128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182505416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182508429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182510368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182512422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182590290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182603542
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1349182637622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182638783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182639080
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1349182686357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182687719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182688020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349182692885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182706759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182725210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182726348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182727338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1349182745108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349182748021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182749043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182749626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182750232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182827982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349182867725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349183146277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349183153408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349184152983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349184159830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349184162623
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1349184291803
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1349184291934
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1349184295373
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349184325313
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1349184326504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349184332492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349184348733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349184350787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1349184353781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349184355366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349184362631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349184367910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349184382619
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349184382926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349184391351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349184420886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349184421784
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1349184423922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349184475627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349184491650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349184500668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349184631488
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1349184660848
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1349184663303
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1349184733974
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1349184742939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349184759498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349184760128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1349184809524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349184810915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349184824841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349184827203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349184827715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349184830771
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1349184845281
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1349184849571
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1349184898323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349184961900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185042952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185086555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185169574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185235146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185237483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185240390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185241725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185246235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185267722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349185291344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185310753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185311130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1349185349339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349185354551
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349185391412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349185393786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349185429309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185432044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185467602
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1349185467636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185473756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185496306
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1349185506713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185651421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185705366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185771874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185773270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185781954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185783074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185783384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185785386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185791275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349185810583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185814289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349185815844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349185878547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1349186073567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1349186081677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349186093116
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349186100863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1349186141012
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1349186189634
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1349186195897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349186284843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349186288342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349186317530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349186317971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349186358318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349186361245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349186437377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349186437836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349186458105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349186459366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349186473417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349186475034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349186476341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349186484484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349186486459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349186486963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349186487546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349186503769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349186504925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349186546123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349186699428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349186701663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349186763452
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349186825484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349186826935
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1349186826991
